"document","label","term_ back","term_ big","term_ government","term_ made","term_ make","term_ one","term_ part","term_ people","term_ reuters","term_ see","term_ source","term_ story","term_ team","term_ trump","term_ week","term_ year","term_ years","term_news","term_time"
1,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
2,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
3,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
4,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
5,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
6,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
7,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
8,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
9,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
10,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
11,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
12,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
13,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
14,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
15,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
16,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
17,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
18,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
19,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
20,"1",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
21,"0",1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
22,"1",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
23,"0",0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
