"document","label","term_ back","term_ government","term_ news","term_ people","term_ photos","term_ play","term_ police","term_ season","term_ state","term_ states","term_ team","term_ time","term_ told","term_ trump","term_ week","term_ yards","term_ years","term_game","term_president"
1,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
2,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
3,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
4,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
5,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
6,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
7,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
8,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
9,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
10,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
11,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
12,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
13,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
14,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
15,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
16,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
17,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
18,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
19,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
20,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
21,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
22,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
23,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
24,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
25,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
26,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
27,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
28,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
29,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
30,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
31,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
32,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
33,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
34,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
35,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
36,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
37,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
38,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
39,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
40,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
41,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
42,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
43,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
44,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
45,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
46,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
47,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
48,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
49,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
50,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
51,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
52,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
53,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
54,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
55,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
56,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
57,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
58,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
59,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
60,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
61,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
62,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
63,"1",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
64,"0",1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
65,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
66,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
67,"1",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
68,"0",0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
